,Number of new latrines to build,Number of latrines to maintain,Number of new wells to drill,Number of wells to repair,Availability HWT,HW stations to build,percentage of infants to vaccinate,Access to tmt,percent adults given MDA,percent youth given Albendazole,Mortality,Morbidity,Timeliness,CapEx,OpEx
19,7254,2395,354,21,9,5435,97,38,48,62,112229.375,4733.97890625,-0.6480399370193481,3273525559296.0,1197855997952.0
20,108,3447,6,1059,29,647,93,75,91,9,84456.7375,5340.406640625,-0.5744336247444153,73123192832.0,2918549028864.0
21,8078,2527,98,30,1,828,11,90,32,46,103005.5875,8156.89609375,-0.2672436833381653,1938183684096.0,601603440640.0
22,8044,1675,57,35,3,2911,9,80,57,21,108248.3125,7329.465625,-0.2673634886741638,1798332743680.0,584145829888.0
23,433,3719,35,14,3,1316,39,85,91,80,94071.35,6862.7234375,-0.3534013032913208,302584332288.0,951350263808.0
24,6979,3621,483,30,4,2771,44,38,82,26,149465.325,6284.403515625,-0.41935303807258606,3788950470656.0,710381142016.0
25,6506,3619,56,15,4,7461,31,96,32,49,75876.71875,6706.0765625,-0.36115458607673645,1691461615616.0,800096714752.0
26,6995,3930,101,54,3,4367,38,81,30,1,94290.29375,6486.040234375,-0.3924344778060913,1894117801984.0,729801424896.0
27,8175,2504,446,28,3,2833,35,94,57,64,76831.9125,6544.02265625,-0.3811911642551422,3809972060160.0,820240842752.0
28,2256,3715,5,558,28,4843,93,36,99,94,122275.025,5058.109375,-0.622526228427887,594997149696.0,2347675418624.0
29,6383,3831,59,31,3,2665,90,80,89,71,72761.28125,4945.706640625,-0.6170951128005981,1510451576832.0,1129340469248.0
30,5241,1659,58,66,5,2860,92,80,97,3,73578.075,4999.0015625,-0.6203763484954834,1313646051328.0,1179277721600.0
31,8020,2436,347,145,6,4811,94,38,49,57,113850.825,4801.92109375,-0.6359887719154358,3348266745856.0,1182182408192.0
32,6185,2339,29,30,0,828,31,90,39,38,105699.75,8341.0796875,-0.32227715849876404,1255370391552.0,726092152832.0
33,8078,1568,5,17,3,576,11,91,45,17,90656.35,7309.9609375,-0.2726922333240509,1452830883840.0,607063244800.0
34,8051,3866,417,46,1,6685,35,86,57,14,97618.3,7244.6625,-0.37762752175331116,3780426858496.0,699570454528.0
35,319,3603,163,45,7,3804,36,60,81,33,132203.4375,6922.684375,-0.3422984778881073,1028861460480.0,921108348928.0
36,7890,280,31,62,0,5472,44,87,81,41,101993.3625,7667.7953125,-0.3776724636554718,1731829563392.0,826853425152.0
37,368,2064,5,31,4,3606,95,40,94,70,123147.725,5278.440625,-0.5694098472595215,221208313856.0,1177395527680.0
38,2199,3745,9,411,34,4329,90,33,22,62,128968.05,5194.85390625,-0.6054266691207886,586803838976.0,2320241524736.0
39,6864,1826,17,16,4,4844,39,45,16,61,144668.7625,6491.56875,-0.39435911178588867,1458634358784.0,702917115904.0
40,8111,2367,284,254,3,6867,99,25,9,13,123600.7125,4666.545703125,-0.6570995450019836,3116551372800.0,1095648477184.0
41,1843,3720,53,200,4,5466,82,89,71,6,69587.85,5434.32734375,-0.5704809427261353,791589093376.0,1259575967744.0
42,2324,3747,2,478,34,743,94,92,91,73,61779.8,5084.127734375,-0.6240942478179932,441906593792.0,2646320611328.0
43,5323,3611,355,1,4,3804,43,90,58,25,80433.25,6381.7046875,-0.41079896688461304,2882997583872.0,830158143488.0
44,1192,3805,98,366,3,144,95,66,34,66,92773.175,5227.77578125,-0.6140314340591431,714516529152.0,1465655492608.0
45,8191,276,122,19,2,3941,34,21,61,70,189145.5,6887.86953125,-0.3721826672554016,2194297192448.0,577268547584.0
46,433,3775,29,14,35,1316,89,93,91,80,64498.8875,5398.715625,-0.5749223828315735,271864299520.0,2317190692864.0
47,7329,46,508,31,3,5588,83,38,10,5,124339.25,5237.9578125,-0.570575475692749,4080643080192.0,859759837184.0
48,6509,3868,56,143,4,7375,33,83,46,61,93619.5875,6634.4703125,-0.3705346882343292,1688846860288.0,905761193984.0
49,7820,2164,356,25,3,7076,71,47,9,57,120124.9125,5506.646875,-0.535557210445404,3442158075904.0,855079583744.0
50,7368,3988,412,215,27,4425,100,86,60,27,62029.74375,4625.3328125,-0.6617952585220337,3553485389824.0,2050057175040.0
51,116,346,4,251,24,754,91,72,47,37,91474.31875,5554.62109375,-0.511658251285553,68179189760.0,2101581840384.0
52,8118,2467,29,15,0,7362,30,1,56,38,254496.175,7980.49296875,-0.33210262656211853,1830227017728.0,385681555456.0
53,7560,289,1921,23,4,5852,11,44,11,2,165422.875,7343.88125,-0.26534324884414673,11365044453376.0,463770746880.0
54,7815,2658,90,815,4,4829,99,8,64,42,140176.425,4652.252734375,-0.6576635241508484,1997397032960.0,1633258307584.0
55,1135,3715,93,30,4,2543,81,92,5,38,67812.7625,5574.405859375,-0.5538097620010376,766509514752.0,1147439153152.0
56,782,3512,61,973,35,7449,95,93,88,80,61417.46875,5144.9328125,-0.6121816635131836,720190111744.0,3154109792256.0
57,8145,729,24,48,4,6892,30,83,33,55,94802.6375,6718.1734375,-0.35814109444618225,1792181796864.0,788067975168.0
58,2189,2651,99,19,4,5275,51,38,15,89,153222.525,6434.006640625,-0.42008450627326965,1080373018624.0,831674777600.0
59,8012,3771,258,15,3,3485,38,83,54,39,90968.20625,6449.44375,-0.3946382999420166,2842821656576.0,759782178816.0
60,7792,476,1982,54,3,5827,11,61,19,13,137870.925,7309.71875,-0.2726057469844818,11716840652800.0,525374193664.0
61,6627,3747,1789,23,3,7346,72,82,81,13,78127.875,5464.02734375,-0.5401822924613953,10581289467904.0,942431797248.0
62,8051,3733,1563,5,0,7620,100,80,22,57,82715.875,5607.76328125,-0.6515630483627319,9682056904704.0,1039881207808.0
63,6838,1699,67,17,3,7484,16,98,4,1,78299.18125,7188.959375,-0.29353368282318115,1806415298560.0,614787121152.0
64,204,3807,2,31,0,3557,82,87,78,38,111791.9125,8389.59921875,-0.4069955050945282,175511650304.0,1189312462848.0
65,817,3447,2,305,28,4857,92,97,38,95,58365.21875,5266.871875,-0.5947908163070679,329646702592.0,2348587417600.0
66,1238,3745,28,478,28,7471,94,27,100,42,133407.775,5108.91796875,-0.6206619143486023,631413145600.0,2207384076288.0
67,1969,3960,34,1,3,1504,33,83,36,86,98001.05625,6932.81640625,-0.34951522946357727,571709456384.0,840321007616.0
68,8184,211,389,15,3,4573,35,26,2,57,173952.625,6595.6828125,-0.37584707140922546,3583173197824.0,576275218432.0
69,7241,1575,380,62,3,4643,1,42,27,62,174538.75,7601.34375,-0.23075047135353088,3375489875968.0,485704466432.0
70,183,3563,2,30,4,3629,84,91,70,21,68624.1625,5543.11015625,-0.548251211643219,174482554880.0,1201969037312.0
